,Country,Rank,Score,Year,Life Expectancy,Trust in the gov,Economy strength,Generosity,Perceived freedom,Family,ISO
144,Cambodia,145,3.819,2015,73.32630031948882,0.13130764073852622,0.2723465174335372,0.5070990601598231,0.9891448792797097,0.4474016388181682,KHM
145,Tanzania,146,3.781,2015,67.18088178913739,0.10412929644326067,0.16871546716200708,0.4319369754234307,0.4909142490257268,0.7150610099627023,
146,Madagascar,147,3.681,2015,69.46364217252396,0.14719791270315813,0.12318832006246969,0.26804292104337335,0.2864437907813597,0.47639117691106303,MDG
147,Central African Republic,148,3.678,2015,58.72291373801917,0.15018753057563733,0.04643816329669549,0.29947982107855453,0.7298314246039448,0.0,CAF
148,Chad,149,3.667,2015,60.95334185303515,0.09546846406116939,0.20227517421705848,0.23101472583806604,0.3509026025413226,0.5424359769795254,TCD
149,Guinea,150,3.656,2015,63.3684089456869,0.21994528093348553,0.10303356562274464,0.36006684424787655,0.5632866976244157,0.3314363549489028,GIN
150,Ivory Coast,151,3.655,2015,61.00030670926518,0.32472685763983256,0.2752806994711373,0.25336734181032317,0.6997745360070476,0.5499454440427034,CIV
151,Burkina Faso,152,3.587,2015,64.2046517571885,0.23250167599789817,0.15269577974704512,0.2732447102578278,0.5896853956071849,0.6075180248604009,BFA
152,Afghanistan,153,3.575,2015,65.0661214057508,0.1760975521371238,0.18919558452928859,0.45873749811529374,0.34960357158855054,0.21597740741533128,AFG
153,Rwanda,154,3.465,2015,68.42853674121406,1.0,0.13137563445770872,0.28431421822385283,0.8839532348857002,0.5517639759525899,RWA
154,Benin,155,3.34,2015,65.4888051118211,0.14513235853671794,0.16957324215283776,0.22943157259888425,0.7234258581816552,0.252355177110745,BEN
155,Syria,156,3.006,2015,76.29957827476039,0.34255585149752676,0.39232853373717774,0.5927903704075991,0.2341839248652442,0.3386676936023334,
156,Burundi,157,2.905,2015,62.935527156549526,0.1823123335326412,0.009051005075661669,0.24786399959792932,0.17693697460170515,0.2965775942605707,BDI
157,Togo,158,2.839,2015,64.5583642172524,0.19443387508832963,0.12344861040451485,0.20959189827612204,0.5442939692114733,0.09980531011317685,TGO
158,Denmark,1,7.526,2016,79.75576763485476,0.8798915302547454,0.7903325713847182,0.44126581351941535,0.9522252169339994,0.9835032030153982,DNK
159,Switzerland,2,7.509,2016,83.98751037344398,0.8155618455691692,0.8372280419016922,0.34259677202913225,0.9623488035761242,0.9678684312830654,CHE
160,Iceland,3,7.501,2016,84.25514522821577,0.2964113932820015,0.7820443245791467,0.5816447280135657,0.9305811201682881,1.0,ISL
161,Norway,4,7.498,2016,79.80244813278009,0.7081411690188238,0.8646965635569296,0.46229764184894656,0.9796377859584539,0.9523688791981475,NOR
